review,classification,confidence
"Easily the best Sauvignon Blanc I've had to date. Beautiful array of flavors on the nose with lemon, apple, honey, peach and other citrus. A great balance of acidity and a slight buttery flavor in the mid palate. Smooth and medium finish. Definitely worth having again. ",talks about food combinations,0.465979934
"Excellent, Mockingbird Inn?",talks about taste,0.576355994
Absolutely incredible. One of the best sauvignon blancs I've ever had the pleasure to taste,talks about taste,0.774298906
Reported in nytimes. Did not try,other,0.64630729
"Great. Much different than other Sauv Blancs since it is aged in oak. After a few days open in the fridge, it was way better!",other,0.566542268
"This was a nice, balanced, SVB. Just enough Apple and citrus, light on the grass, but enough flavor to enjoy. ",talks about taste,0.691114902
"Oak and stone first, followed by a little peach. Finishes with some apricot and green apple. Very good bottle for the price!",talks about value for money,0.407530487
"Stunning, delicious, sophisticated, incomparable to other SB's. A very welcome addition to the wonderful world of SB's.",talks about taste,0.697001636
Fantastic expression of Napa Sav Blanc.  Incredible peach undertones that went well with our grilled peach and avo salad,talks about food combinations,0.808222234
"I think this is my first Cali Sauvignon Blanc. Fruity, honeysuckle, maybe a little oily? Slightly sweet. ",talks about food combinations,0.40054059
One of the best Sauv Blancs made.. only accolades.. smooth and crisp up front with a memorable finish..,talks about taste,0.515884042
"Another bottle and another great dinner (soft shell crabs).  Drink this wine. Great balance, fruit and verve. ",talks about food combinations,0.564884305
Clean and pear up front with a beautiful subtle butter and spicy finish. One of the better sav blancs ,talks about food combinations,0.402324706
"Smooth and slightly sweet with pear, apple, and mango notes. Medium bodied and we'll balanced. Pairs well with cheese.",talks about food combinations,0.497572929
"Honey, pear and grilled pineapple on the nose.  Earthy on the palate with pear, mild grapefruit and green apple.",talks about taste,0.452853948
One of the better Sauvignon Blancs I’ve tasted. Pear and apple palate with a good mix of minerality and butter. ,talks about taste,0.46539861
"Dry, high acidity, high alcohol, medium bodied. Grass, vanilla and liquorice on the palate. Very good quality!",talks about taste,0.745258212
Crisp and tart flavors upfront with a nice sweet pear finish. Aromas of wild flowers and honey suckle. Exceptional wine!,talks about taste,0.600776494
Dry. Very fruit forward with no bad linger on the palate. Bought a bottle after our tasting and enjoy it just much now.,talks about taste,0.703492939
"Love this wine. Medium - Full bodied, low sweetness, and medium - high acidity. Melon and citrus, mmmm!!",talks about taste,0.675625503
Still a favorite.. deep color and pleasant tones of pear. Good enough to match a spicy pork dish! melon ,talks about food combinations,0.561614156
Mainly honeydew melon with pear overtones. Very enjoyable and more substantial than ‘popular’ sauv blancs. ,talks about taste,0.433647513
Grapefruit lime mineral notes.  Lite residual sugar mild smooth med plus acid med complexity easy drinking good food wine.,talks about food combinations,0.643197954
"Gorgeous!  Strong gooseberry on the nose, but oh the ripeness of fruit that shows peaches and tropical fruit! Excellent!",talks about food combinations,0.356434971
Pear and melon with clean drink. Almost like German white that I remember. Maybe pepper finish. I’d drink again,talks about food combinations,0.743916988
What a simply lovely wine - thank you Kelly & Kyle for thoughtfully providing it - well worth trying! 👍😃,talks about taste,0.636099339
"Super sweet kiwi, pineapple, and white peaches. Super easy drinking and delish! Refreshing and lovely :)",talks about food combinations,0.702906013
Candied apricot gives way to peach on the finish. Absolutely delightfully delicious with bacon wrapped sea scallops. ,talks about food combinations,0.470071077
Amazing fruit notes of apple in nose. French oak gives it a little twist in texture. Merry never disappoints! ,talks about taste,0.593927383
"Great sauv blanc for price. Very smooth and well balanced with some banana and apple hints, seems to be lower acidity ",talks about value for money,0.822410405
"Crisp, with a hint of minerality and cream flavor; citrus, peach and flowers on the nose. Very nice wine.",talks about taste,0.513118088
"Wow. Awesome wine, passion fruit, vanilla, incredibly soft on the tongue. Paid $33 and well worth it. ",talks about value for money,0.540862679
Fruity and creamy smooth with hints of pear and sweet apple.  Paired really well with Japanese food.  Enjoyed it very much.,talks about food combinations,0.784237564
Very floral nose. Not too sweet. Peaches. Soft in the mouth. Bought this at the vineyard after a very educational tasting.,talks about taste,0.753687203
delicious! Kind of syrupy but not sweet. Has a strong grape 🍇 flavor. Unlike New Zealand Sauvignon Blanca,talks about taste,0.615832865
"Golden color with floral and green apple aroma, fruity little creamy, taste of honey with hint of caramel, very nice",talks about taste,0.659390092
Delicious. Very complex. Nice crisp apple with a long finish. Obama had this in cases - maybe at inauguration. ,talks about taste,0.59654671
